Unique ID, Manufacturer, Chemistry, Voltage (Volts)
2C14AS3GYFG3KCR220358, AS3GYFG3KC, , 17.401

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2026-03-12, 15:33:26, OK, 92%, 0.00, -1, 26009, , 17.401, 26009, 92.0%, , , , , , , , , , , , 
2026-03-12, 15:34:26, OK, 91%, 2.07, 6774, -37726, , 16.514, -37726, 91.0%, , , , , , , , , , , , 
2026-03-12, 15:35:26, OK, 90%, 1.97, 6374, -37519, , 16.499, -37519, 90.0%, , , , , , , , , , , , 
2026-03-12, 15:36:26, OK, 89%, 2.15, 6891, -36240, , 16.438, -36240, 89.0%, , , , , , , , , , , , 
2026-03-12, 15:37:26, OK, 89%, 2.10, 6718, -36480, , 16.403, -36480, 88.0%, , , , , , , , , , , , 
2026-03-12, 15:38:26, OK, 88%, 2.12, 6711, -37247, , 16.357, -37247, 87.0%, , , , , , , , , , , , 
2026-03-12, 15:39:26, OK, 87%, 2.03, 6346, -49380, , 16.231, -49380, 87.0%, , , , , , , , , , , , 
2026-03-12, 15:40:26, OK, 86%, 1.95, 6026, -39357, , 16.265, -39357, 86.0%, , , , , , , , , , , , 
2026-03-12, 15:41:26, OK, 85%, 2.11, 6468, -37535, , 16.232, -37535, 85.0%, , , , , , , , , , , , 
2026-03-12, 15:42:26, OK, 84%, 2.10, 6365, -37583, , 16.129, -37583, 84.0%, , , , , , , , , , , , 
2026-03-12, 15:43:26, OK, 84%, 2.11, 6373, -37599, , 16.164, -37599, 83.0%, , , , , , , , , , , , 
2026-03-12, 15:44:26, OK, 83%, 1.96, 5855, -38142, , 16.105, -38142, 82.0%, , , , , , , , , , , , 
2026-03-12, 15:45:26, OK, 82%, 2.10, 6195, -37599, , 16.091, -37599, 82.0%, , , , , , , , , , , , 
2026-03-12, 15:46:26, OK, 81%, 1.91, 5559, -37343, , 16.055, -37343, 81.0%, , , , , , , , , , , , 
2026-03-12, 15:47:26, OK, 80%, 2.09, 6013, -37854, , 16.019, -37854, 80.0%, , , , , , , , , , , , 
2026-03-12, 15:48:26, OK, 79%, 2.08, 5920, -37934, , 15.983, -37934, 79.0%, , , , , , , , , , , , 
2026-03-12, 15:49:26, OK, 78%, 1.87, 5252, -38270, , 15.956, -38270, 78.0%, , , , , , , , , , , , 
2026-03-12, 15:50:26, OK, 77%, 2.09, 5780, -38014, , 15.886, -38014, 77.0%, , , , , , , , , , , , 
2026-03-12, 15:51:26, OK, 76%, 1.87, 5105, -38350, , 15.889, -38350, 76.0%, , , , , , , , , , , , 
2026-03-12, 15:52:26, OK, 75%, 2.09, 5632, -38046, , 15.817, -38046, 75.0%, , , , , , , , , , , , 
2026-03-12, 15:53:26, OK, 75%, 2.03, 5468, -38206, , 15.829, -38206, 75.0%, , , , , , , , , , , , 
2026-03-12, 15:54:26, OK, 74%, 2.08, 5534, -38462, , 15.779, -38462, 74.0%, , , , , , , , , , , , 
2026-03-12, 15:55:26, OK, 73%, 2.06, 5416, -38142, , 15.745, -38142, 73.0%, , , , , , , , , , , , 
2026-03-12, 15:56:26, OK, 72%, 2.06, 5342, -38110, , 15.715, -38110, 72.0%, , , , , , , , , , , , 
2026-03-12, 15:57:26, OK, 71%, 2.06, 5267, -38062, , 15.694, -38062, 71.0%, , , , , , , , , , , , 
2026-03-12, 15:58:26, OK, 70%, 2.04, 5146, -38318, , 15.659, -38318, 70.0%, , , , , , , , , , , , 
2026-03-12, 15:59:26, OK, 70%, 1.81, 4554, -39213, , 15.636, -39213, 69.0%, , , , , , , , , , , , 
2026-03-12, 16:00:26, OK, 69%, 2.05, 5093, -38590, , 15.563, -38590, 68.0%, , , , , , , , , , , , 
2026-03-12, 16:01:26, OK, 68%, 1.94, 4755, -38782, , 15.572, -38782, 68.0%, , , , , , , , , , , , 
2026-03-12, 16:02:26, OK, 67%, 1.98, 4785, -38877, , 15.494, -38877, 67.0%, , , , , , , , , , , , 
2026-03-12, 16:03:26, OK, 66%, 2.04, 4856, -38877, , 15.508, -38877, 66.0%, , , , , , , , , , , , 
2026-03-12, 16:04:26, OK, 65%, 2.01, 4699, -39069, , 15.433, -39069, 65.0%, , , , , , , , , , , , 
2026-03-12, 16:05:26, OK, 64%, 2.03, 4670, -38526, , 15.416, -38526, 64.0%, , , , , , , , , , , , 
2026-03-12, 16:06:26, OK, 63%, 2.03, 4614, -39341, , 15.362, -39341, 63.0%, , , , , , , , , , , , 
2026-03-12, 16:07:26, OK, 62%, 1.96, 4382, -38750, , 15.359, -38750, 62.0%, , , , , , , , , , , , 
2026-03-12, 16:08:26, OK, 62%, 2.02, 4519, -38845, , 15.336, -38845, 61.0%, , , , , , , , , , , , 
2026-03-12, 16:09:26, OK, 61%, 2.01, 4408, -39517, , 15.313, -39517, 61.0%, , , , , , , , , , , , 
2026-03-12, 16:10:26, OK, 60%, 2.01, 4342, -40364, , 15.269, -40364, 60.0%, , , , , , , , , , , , 
2026-03-12, 16:11:26, OK, 59%, 2.00, 4253, -39693, , 15.194, -39693, 59.0%, , , , , , , , , , , , 
2026-03-12, 16:12:26, OK, 58%, 2.00, 4186, -39645, , 15.160, -39645, 58.0%, , , , , , , , , , , , 
2026-03-12, 16:13:26, OK, 57%, 1.98, 4072, -39789, , 15.178, -39789, 57.0%, , , , , , , , , , , , 
2026-03-12, 16:14:26, OK, 56%, 1.93, 3897, -39853, , 15.085, -39853, 56.0%, , , , , , , , , , , , 
2026-03-12, 16:15:26, OK, 55%, 1.99, 3934, -39597, , 15.076, -39597, 55.0%, , , , , , , , , , , , 
2026-03-12, 16:16:26, OK, 54%, 1.85, 3593, -40108, , 15.062, -40108, 54.0%, , , , , , , , , , , , 
2026-03-12, 16:17:26, OK, 53%, 1.76, 3366, -39853, , 15.052, -39853, 53.0%, , , , , , , , , , , , 
2026-03-12, 16:18:26, OK, 52%, 1.80, 3372, -40044, , 14.985, -40044, 52.0%, , , , , , , , , , , , 
2026-03-12, 16:19:26, OK, 51%, 1.88, 3455, -41611, , 15.024, -41611, 51.0%, , , , , , , , , , , , 
2026-03-12, 16:20:26, OK, 50%, 1.97, 3544, -40156, , 14.975, -40156, 50.0%, , , , , , , , , , , , 
2026-03-12, 16:21:26, OK, 50%, 1.96, 3520, -41004, , 14.946, -41004, 50.0%, , , , , , , , , , , , 
2026-03-12, 16:22:26, OK, 49%, 1.96, 3464, -40220, , 14.963, -40220, 49.0%, , , , , , , , , , , , 
2026-03-12, 16:23:26, OK, 48%, 1.95, 3376, -39996, , 14.882, -39996, 48.0%, , , , , , , , , , , , 
2026-03-12, 16:24:26, OK, 47%, 1.95, 3305, -40508, , 14.929, -40508, 47.0%, , , , , , , , , , , , 
2026-03-12, 16:25:26, OK, 46%, 1.97, 3255, -40396, , 14.849, -40396, 46.0%, , , , , , , , , , , , 
2026-03-12, 16:26:26, OK, 45%, 1.96, 3170, -40172, , 14.878, -40172, 45.0%, , , , , , , , , , , , 
2026-03-12, 16:27:26, OK, 44%, 1.96, 3108, -40252, , 14.817, -40252, 44.0%, , , , , , , , , , , , 
2026-03-12, 16:28:26, OK, 43%, 1.95, 3017, -41115, , 14.828, -41115, 43.0%, , , , , , , , , , , , 
2026-03-12, 16:29:26, OK, 42%, 1.85, 2790, -41147, , 14.772, -41147, 42.0%, , , , , , , , , , , , 
2026-03-12, 16:30:26, OK, 41%, 1.94, 2863, -40492, , 14.805, -40492, 41.0%, , , , , , , , , , , , 
2026-03-12, 16:31:26, OK, 40%, 1.81, 2612, -40764, , 14.788, -40764, 40.0%, , , , , , , , , , , , 
2026-03-12, 16:32:26, OK, 39%, 1.88, 2637, -40620, , 14.770, -40620, 39.0%, , , , , , , , , , , , 
2026-03-12, 16:33:26, OK, 39%, 1.88, 2645, -40652, , 14.728, -40652, 38.0%, , , , , , , , , , , , 
2026-03-12, 16:34:26, OK, 37%, 1.91, 2542, -41771, , 14.729, -41771, 37.0%, , , , , , , , , , , , 
2026-03-12, 16:35:26, OK, 37%, 1.91, 2543, -41323, , 14.650, -41323, 36.0%, , , , , , , , , , , , 
2026-03-12, 16:36:26, OK, 36%, 1.91, 2469, -41195, , 14.700, -41195, 36.0%, , , , , , , , , , , , 
2026-03-12, 16:37:26, OK, 35%, 1.91, 2403, -41084, , 14.613, -41084, 35.0%, , , , , , , , , , , , 
2026-03-12, 16:38:26, OK, 34%, 1.91, 2340, -41243, , 14.668, -41243, 34.0%, , , , , , , , , , , , 
2026-03-12, 16:39:26, OK, 33%, 1.88, 2239, -41835, , 14.623, -41835, 33.0%, , , , , , , , , , , , 
2026-03-12, 16:40:26, OK, 32%, 1.89, 2176, -41499, , 14.610, -41499, 32.0%, , , , , , , , , , , , 
2026-03-12, 16:41:26, OK, 31%, 1.90, 2117, -41483, , 14.623, -41483, 31.0%, , , , , , , , , , , , 
2026-03-12, 16:42:26, OK, 30%, 1.88, 2033, -35776, , 14.675, -35776, 30.0%, , , , , , , , , , , , 
2026-03-12, 16:43:26, OK, 29%, 2.20, 2302, -35648, , 14.662, -35648, 29.0%, , , , , , , , , , , , 
2026-03-12, 16:44:26, OK, 28%, 2.06, 2072, -35696, , 14.661, -35696, 28.0%, , , , , , , , , , , , 
2026-03-12, 16:45:26, OK, 27%, 2.22, 2157, -35552, , 14.648, -35552, 27.0%, , , , , , , , , , , , 
2026-03-12, 16:46:26, OK, 27%, 2.22, 2155, -35520, , 14.621, -35520, 27.0%, , , , , , , , , , , , 
2026-03-12, 16:47:26, OK, 26%, 2.21, 2066, -35920, , 14.598, -35920, 26.0%, , , , , , , , , , , , 
2026-03-12, 16:48:26, OK, 25%, 2.21, 1990, -35520, , 14.607, -35520, 25.0%, , , , , , , , , , , , 
2026-03-12, 16:49:26, OK, 24%, 2.14, 1852, -35872, , 14.582, -35872, 24.0%, , , , , , , , , , , , 
2026-03-12, 16:50:26, OK, 24%, 2.21, 1911, -35664, , 14.596, -35664, 24.0%, , , , , , , , , , , , 
2026-03-12, 16:51:26, OK, 23%, 2.19, 1814, -35568, , 14.583, -35568, 23.0%, , , , , , , , , , , , 
2026-03-12, 16:52:26, OK, 22%, 2.15, 1702, -35632, , 14.565, -35632, 22.0%, , , , , , , , , , , , 
2026-03-12, 16:53:26, OK, 21%, 2.14, 1620, -36272, , 14.557, -36272, 21.0%, , , , , , , , , , , , 
2026-03-12, 16:54:26, OK, 20%, 2.11, 1516, -35616, , 14.550, -35616, 20.0%, , , , , , , , , , , , 
2026-03-12, 16:55:26, OK, 20%, 2.22, 1595, -35616, , 14.537, -35616, 20.0%, , , , , , , , , , , , 
2026-03-12, 16:56:26, OK, 19%, 2.22, 1519, -35424, , 14.527, -35424, 19.0%, , , , , , , , , , , , 
2026-03-12, 16:57:26, OK, 18%, 2.21, 1431, -35520, , 14.501, -35520, 18.0%, , , , , , , , , , , , 
2026-03-12, 16:58:26, OK, 17%, 2.21, 1355, -35664, , 14.483, -35664, 17.0%, , , , , , , , , , , , 
