timestamp,temperature,humidity,lightPercent,pirDetected,Charge_percent,charge_rate,power_consumption_mW
2026-02-21 04:11:00,20.4,43.0,47.57,0,100.0,0.0,-35744.0
2026-02-21 04:12:00,20.4,43.0,47.57,0,100.0,0.0,-35744.0
2026-02-21 04:13:00,20.7,44.0,48.16,0,100.0,0.0,-35792.0
2026-02-21 04:14:00,20.9,44.0,46.86,0,100.0,0.0,-35952.0
2026-02-21 04:15:00,21.2,45.0,49.08,0,99.0,-1.0,-37343.0
2026-02-21 04:16:00,21.3,45.0,46.4,0,98.0,-1.0,-38334.0
2026-02-21 04:17:00,21.2,45.0,48.25,0,97.0,-1.0,-56590.0
2026-02-21 04:18:00,21.2,45.0,46.86,0,96.0,-1.0,-54927.0
2026-02-21 04:19:00,21.3,45.0,48.64,0,95.0,-1.0,-36048.0
2026-02-21 04:20:00,21.3,45.0,46.37,0,94.0,-1.0,-43050.0
2026-02-21 04:21:00,21.2,45.0,47.4,0,93.0,-1.0,-50499.0
2026-02-21 04:22:00,21.2,45.0,47.37,0,92.0,-1.0,-38494.0
2026-02-21 04:23:00,21.2,45.0,47.06,0,92.0,0.0,-38206.0
2026-02-21 04:24:00,21.2,45.0,46.59,0,91.0,-1.0,-36943.0
2026-02-21 04:25:00,21.2,45.0,47.35,0,90.0,-1.0,-36160.0
2026-02-21 04:26:00,21.2,45.0,45.93,0,89.0,-1.0,-35952.0
2026-02-21 04:27:00,21.2,45.0,47.74,0,88.0,-1.0,-63096.0
2026-02-21 04:28:00,21.2,45.0,45.93,0,87.0,-1.0,-39725.0
2026-02-21 04:29:00,21.2,45.0,48.96,0,86.0,-1.0,-38718.0
2026-02-21 04:30:00,21.1,45.0,45.96,0,86.0,0.0,-40060.0
2026-02-21 04:31:00,21.1,45.0,47.06,0,85.0,-1.0,-36863.0
2026-02-21 04:32:00,21.0,45.0,46.28,0,84.0,-1.0,-37519.0
2026-02-21 04:33:00,21.0,45.0,47.45,0,83.0,-1.0,-38542.0
2026-02-21 04:34:00,21.0,45.0,48.33,0,82.0,-1.0,-39453.0
2026-02-21 04:35:00,20.9,45.0,45.93,0,81.0,-1.0,-41707.0
2026-02-21 04:36:00,20.9,45.0,46.35,0,81.0,0.0,-37231.0
2026-02-21 04:37:00,20.9,45.0,48.91,0,80.0,-1.0,-36991.0
2026-02-21 04:38:00,20.9,45.0,46.03,0,79.0,-1.0,-38078.0
2026-02-21 04:39:00,20.9,45.0,49.06,0,78.0,-1.0,-39053.0
2026-02-21 04:40:00,20.9,45.0,46.45,0,77.0,-1.0,-39789.0
2026-02-21 04:41:00,20.9,45.0,47.99,0,76.0,-1.0,-39565.0
2026-02-21 04:42:00,20.9,45.0,47.06,0,75.0,-1.0,-40348.0
2026-02-21 04:43:00,20.9,45.0,46.03,0,74.0,-1.0,-37103.0
2026-02-21 04:44:00,20.9,45.0,47.84,0,74.0,0.0,-36751.0
2026-02-21 04:45:00,20.9,45.0,46.06,0,73.0,-1.0,-37838.0
2026-02-21 04:46:00,20.9,45.0,92.94,0,72.0,-1.0,-39533.0
2026-02-21 04:47:00,20.9,45.0,92.92,0,71.0,-1.0,-39021.0
2026-02-21 04:48:00,20.9,45.0,92.82,0,71.0,0.0,-37934.0
2026-02-21 04:49:00,20.9,45.0,92.7,0,69.0,-2.0,-37007.0
2026-02-21 04:50:00,20.8,45.0,92.87,0,69.0,0.0,-39405.0
2026-02-21 04:51:00,20.8,45.0,92.8,0,68.0,-1.0,-38414.0
2026-02-21 04:52:00,20.8,45.0,92.72,0,67.0,-1.0,-39437.0
2026-02-21 04:53:00,20.8,45.0,92.7,0,66.0,-1.0,-39709.0
2026-02-21 04:54:00,20.8,45.0,92.67,0,65.0,-1.0,-38957.0
2026-02-21 04:55:00,20.8,45.0,92.87,0,64.0,-1.0,-37583.0
2026-02-21 04:56:00,20.8,45.0,92.87,0,63.0,-1.0,-39197.0
2026-02-21 04:57:00,20.8,45.0,92.72,0,63.0,0.0,-39117.0
2026-02-21 04:58:00,20.8,45.0,92.77,0,62.0,-1.0,-39933.0
2026-02-21 04:59:00,20.8,45.0,92.82,0,61.0,-1.0,-39901.0
2026-02-21 05:00:00,20.7,45.0,92.87,0,60.0,-1.0,-39149.0
2026-02-21 05:01:00,20.7,45.0,92.82,0,60.0,0.0,-37455.0
2026-02-21 05:02:00,20.7,45.0,92.89,0,59.0,-1.0,-37407.0
2026-02-21 05:03:00,20.7,45.0,92.7,0,57.99999999999999,-1.000000000000007,-38590.0
2026-02-21 05:04:00,20.7,45.0,92.72,0,56.99999999999999,-1.0,-39757.0
2026-02-21 05:05:00,20.7,45.0,92.67,0,56.00000000000001,-0.9999999999999858,-40748.0
2026-02-21 05:06:00,20.7,45.0,92.8,0,55.00000000000001,-1.0,-38877.0
2026-02-21 05:07:00,20.7,45.0,92.67,0,54.0,-1.000000000000007,-37694.0
2026-02-21 05:08:00,20.7,45.0,92.89,0,53.0,-1.0,-38046.0
2026-02-21 05:09:00,20.7,45.0,92.72,0,52.0,-1.0,-39293.0
2026-02-21 05:10:00,20.7,45.0,92.63,0,51.0,-1.0,-40892.0
2026-02-21 05:11:00,20.7,45.0,47.86,0,50.0,-1.0,-40620.0
2026-02-21 05:12:00,20.7,45.0,45.45,0,50.0,0.0,-40236.0
2026-02-21 05:13:00,20.6,45.0,93.06,0,49.0,-1.0,-39485.0
2026-02-21 05:14:00,20.6,45.0,92.77,0,48.0,-1.0,-39980.0
2026-02-21 05:15:00,20.6,46.0,92.77,0,47.0,-1.0,-39869.0
2026-02-21 05:16:00,20.6,46.0,92.72,0,46.0,-1.0,-40668.0
2026-02-21 05:17:00,20.5,46.0,92.77,0,45.0,-1.0,-41387.0
2026-02-21 05:18:00,20.5,46.0,92.87,0,44.0,-1.0,-47830.0
2026-02-21 05:19:00,20.6,46.0,92.67,0,43.0,-1.0,-39693.0
2026-02-21 05:20:00,20.6,46.0,92.82,0,43.0,0.0,-38414.0
2026-02-21 05:21:00,20.6,46.0,92.63,0,42.0,-1.0,-38606.0
2026-02-21 05:22:00,20.6,46.0,92.75,0,41.0,-1.0,-41211.0
2026-02-21 05:23:00,20.6,46.0,92.7,0,40.0,-1.0,-41419.0
2026-02-21 05:24:00,20.6,46.0,92.82,0,39.0,-1.0,-40412.0
2026-02-21 05:25:00,20.6,46.0,92.92,0,38.0,-1.0,-39165.0
2026-02-21 05:26:00,20.6,46.0,92.55,0,38.0,0.0,-38686.0
2026-02-21 05:27:00,20.6,46.0,92.75,0,36.0,-2.0,-38814.0
2026-02-21 05:28:00,20.6,46.0,92.94,0,35.0,-1.0,-40316.0
2026-02-21 05:29:00,20.6,46.0,92.65,0,35.0,0.0,-40780.0
2026-02-21 05:30:00,20.5,46.0,92.7,0,34.0,-1.0,-41467.0
2026-02-21 05:31:00,20.5,46.0,92.67,0,33.0,-1.0,-39549.0
2026-02-21 05:32:00,20.5,46.0,92.8,0,32.0,-1.0,-38286.0
2026-02-21 05:33:00,20.4,46.0,92.77,0,31.0,-1.0,-38622.0
2026-02-21 05:34:00,20.4,46.0,92.8,0,30.0,-1.0,-34162.0
2026-02-21 05:35:00,20.4,46.0,92.58,0,28.999999999999996,-1.0000000000000036,-34146.0
2026-02-21 05:36:00,20.5,46.0,92.92,0,28.999999999999996,0.0,-35424.0
2026-02-21 05:37:00,20.5,46.0,92.7,0,28.000000000000004,-0.9999999999999929,-35345.0
2026-02-21 05:38:00,20.5,46.0,92.67,0,27.0,-1.0000000000000036,-35121.0
2026-02-21 05:39:00,20.5,46.0,92.77,0,27.0,0.0,-34961.0
2026-02-21 05:40:00,20.5,46.0,92.97,0,25.0,-2.0,-35217.0
2026-02-21 05:41:00,20.5,46.0,92.87,0,25.0,0.0,-34929.0
2026-02-21 05:42:00,20.4,46.0,92.67,0,24.0,-1.0,-34993.0
2026-02-21 05:43:00,20.4,46.0,92.72,0,23.0,-1.0,-35089.0
2026-02-21 05:44:00,20.4,46.0,92.72,0,22.0,-1.0,-35073.0
2026-02-21 05:45:00,20.4,46.0,92.67,0,21.0,-1.0,-35121.0
2026-02-21 05:46:00,20.4,46.0,92.87,0,21.0,0.0,-35137.0
2026-02-21 05:47:00,20.4,46.0,92.77,0,20.0,-1.0,-35105.0
2026-02-21 05:48:00,20.4,46.0,92.84,0,19.0,-1.0,-35185.0
2026-02-21 05:49:00,20.3,46.0,92.67,0,18.0,-1.0,-35217.0
2026-02-21 05:50:00,20.3,46.0,92.58,0,17.0,-1.0,-35249.0
2026-02-21 05:51:00,20.3,46.0,92.58,0,17.0,0.0,-35169.0
2026-02-21 05:52:00,20.3,46.0,92.67,0,16.0,-1.0,-35424.0
2026-02-21 05:53:00,20.3,46.0,92.87,0,15.0,-1.0,-35424.0
2026-02-21 05:54:00,20.3,46.0,92.65,0,15.0,0.0,-35584.0
2026-02-21 05:55:00,20.3,46.0,92.55,0,13.0,-2.0,-35568.0
2026-02-21 05:56:00,20.3,46.0,92.77,0,13.0,0.0,-35440.0
2026-02-21 05:57:00,20.3,46.0,92.67,0,12.0,-1.0,-35600.0
2026-02-21 05:58:00,20.3,46.0,92.67,0,11.0,-1.0,-35552.0
2026-02-21 05:59:00,20.3,46.0,92.58,0,10.0,-1.0,-35760.0
2026-02-21 06:00:00,20.2,46.0,92.72,0,9.0,-1.0,-36144.0
2026-02-21 06:01:00,20.3,46.0,92.75,0,9.0,0.0,-35824.0
2026-02-21 06:02:00,20.3,46.0,92.7,0,8.0,-1.0,-35920.0
2026-02-21 06:03:00,20.2,46.0,92.72,0,7.000000000000001,-0.9999999999999991,-35904.0
2026-02-21 06:04:00,20.3,46.0,92.77,0,7.000000000000001,0.0,-36112.0
2026-02-21 06:05:00,20.3,46.0,93.09,0,6.0,-1.0000000000000009,-36192.0
2026-02-21 06:06:00,20.3,46.0,93.06,0,5.0,-1.0,-36032.0
2026-02-21 06:07:00,20.3,46.0,93.11,0,4.0,-1.0,-36256.0
2026-02-21 06:08:00,20.3,46.0,93.11,0,3.0,-1.0,-37231.0
2026-02-21 19:44:00,20.8,51.5,75.445,0,97.0,-0.5,-38102.0
